item,meaning
右 (meaning),Right
石 (meaning),Stone
立 (meaning),Stand
友 (meaning),Friend
少 (meaning),Few
心 (meaning),Heart
写 (meaning),Copy
土 (meaning),Soil
六日 (meaning),Sixth Day
王子 (meaning),Prince
戸口 (meaning),Doorway
方 (meaning),Way
北 (meaning),North
中古 (meaning),Secondhand
広い (meaning),Wide
公用 (meaning),Government Business
先ず (meaning),First Of All
先日 (meaning),The Other Day
名人 (meaning),Expert
一文字 (meaning),Straight Line
元気 (meaning),Energy
人口 (meaning),Population
七日 (meaning),Seventh Day
丸ごと (meaning),In Its Entirety
口にする (meaning),To Mention
